name,short_name,abbrev,country_code,icon_link,official_id,fotmob_id,fbref_id,transfermarkt_id,transfermarkt_path
Arsenal,Arsenal,ARS,GB,https://resources.premierleague.com/premierleague/badges/50/t3.png,1,9825,18bb7c10,11,fc-arsenal
Aston Villa,Aston Villa,AVL,GB,https://resources.premierleague.com/premierleague/badges/50/t7.png,2,10252,8602292d,405,aston-villa
Bournemouth,Bournemouth,BOU,GB,https://resources.premierleague.com/premierleague/badges/50/t91.png,127,8678,4ba7cbea,989,afc-bournemouth
Brentford,Brentford,BRE,GB,https://resources.premierleague.com/premierleague/badges/50/t94.png,130,9937,cd051869,1148,fc-brentford
Brighton & Hove Albion,Brighton,BHA,GB,https://resources.premierleague.com/premierleague/badges/50/t36.png,131,10204,d07537b9,1237,brighton-amp-hove-albion
Burnley,Burnley,BUR,GB,https://resources.premierleague.com/premierleague/badges/50/t90.png,43,8191,943e8050,1132,fc-burnley
Cardiff City,Cardiff,CAR,GB,https://resources.premierleague.com/premierleague/badges/50/t97.png,46,8344,75fae011,603,cardiff-city
Chelsea,Chelsea,CHE,GB,https://resources.premierleague.com/premierleague/badges/50/t8.png,4,8455,cff3d9bb,631,fc-chelsea
Crystal Palace,Crystal Palace,CRY,GB,https://resources.premierleague.com/premierleague/badges/50/t31.png,6,9826,47c64c55,873,crystal-palace
Everton,Everton,EVE,GB,https://resources.premierleague.com/premierleague/badges/50/t11.png,7,8668,d3fd31cc,29,fc-everton
Fulham,Fulham,FUL,GB,https://resources.premierleague.com/premierleague/badges/50/t54.png,34,9879,fd962109,931,fc-fulham
Huddersfield Town,Huddersfield,HUD,GB,https://resources.premierleague.com/premierleague/badges/50/t38.png,159,9796,f5922ca5,1110,huddersfield-town
Ipswich Town,Ipswich,IPS,GB,https://resources.premierleague.com/premierleague/badges/50/t40.png,8,9902,b74092de,677,ipswich-town
Leeds United,Leeds,LEE,GB,https://resources.premierleague.com/premierleague/badges/50/t2.png,9,8463,5bfb9659,399,leeds-united
Leicester City,Leicester,LEI,GB,https://resources.premierleague.com/premierleague/badges/50/t13.png,26,8197,a2d435b3,1003,leicester-city
Liverpool,Liverpool,LIV,GB,https://resources.premierleague.com/premierleague/badges/50/t14.png,10,8650,822bd0ba,31,fc-liverpool
Luton Town,Luton,LUT,GB,https://resources.premierleague.com/premierleague/badges/50/t102.png,163,8346,e297cd13,1031,luton-town
Manchester City,Man City,MCI,GB,https://resources.premierleague.com/premierleague/badges/50/t43.png,11,8456,b8fd03ef,281,manchester-city
Manchester United,Man United,MUN,GB,https://resources.premierleague.com/premierleague/badges/50/t1.png,12,10260,19538871,985,manchester-united
Newcastle United,Newcastle,NEW,GB,https://resources.premierleague.com/premierleague/badges/50/t4.png,23,10261,b2b47a98,762,newcastle-united
Norwich City,Norwich,NOR,GB,https://resources.premierleague.com/premierleague/badges/50/t45.png,14,9850,1c781004,1123,norwich-city
Nottingham Forest,Nott'm Forest,NFO,GB,https://resources.premierleague.com/premierleague/badges/50/t17.png,15,10203,e4a775cb,703,nottingham-forest
Sheffield United,Sheffield Utd,SHU,GB,https://resources.premierleague.com/premierleague/badges/50/t49.png,18,8657,1df6b87e,350,sheffield-united
Southampton,Southampton,SOU,GB,https://resources.premierleague.com/premierleague/badges/50/t20.png,20,8466,33c895d4,180,fc-southampton
Stoke City,Stoke,STK,GB,https://resources.premierleague.com/premierleague/badges/50/t110.png,42,10194,17892952,512,stoke-city
Swansea City,Swansea,SWA,GB,https://resources.premierleague.com/premierleague/badges/50/t80.png,45,10003,fb10988f,2288,swansea-city
Tottenham Hotspur,Tottenham,TOT,GB,https://resources.premierleague.com/premierleague/badges/50/t6.png,21,8586,361ca564,148,tottenham-hotspur
Watford,Watford,WAT,GB,https://resources.premierleague.com/premierleague/badges/50/t57.png,33,9817,2abfe087,1010,fc-watford
West Bromwich Albion,West Brom,WBA,GB,https://resources.premierleague.com/premierleague/badges/50/t35.png,36,8659,60c6b05f,984,west-bromwich-albion
West Ham United,West Ham,WHU,GB,https://resources.premierleague.com/premierleague/badges/50/t21.png,25,8654,7c21e445,379,west-ham-united
Wolverhampton Wanderers,Wolves,WOL,GB,https://resources.premierleague.com/premierleague/badges/50/t39.png,38,8602,8cec06e1,543,wolverhampton-wanderers
Deportivo Alavés,Alavés,ALA,ES,https://images.fotmob.com/image_resources/logo/teamlogo/9866_xsmall.png,,9866,8d6fd021,1108,deportivo-alaves
UD Almería,Almería,ALM,ES,https://images.fotmob.com/image_resources/logo/teamlogo/9865_xsmall.png,,9865,78ecf4bb,3302,ud-almeria
Athletic Club,Athletic,ATH,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8315_xsmall.png,,8315,2b390eca,621,athletic-bilbao
Atlético de Madrid,Atlético,ATM,ES,https://images.fotmob.com/image_resources/logo/teamlogo/9906_xsmall.png,,9906,db3b9613,13,atletico-madrid
FC Barcelona,Barcelona,BAR,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8634_xsmall.png,,8634,206d90db,131,fc-barcelona
Real Betis,Betis,BET,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8603_xsmall.png,,8603,fc536746,150,real-betis-sevilla
RC Celta,Celta,CEL,ES,https://images.fotmob.com/image_resources/logo/teamlogo/9910_xsmall.png,,9910,f25da7fb,940,celta-vigo
Cádiz CF,Cádiz,CAD,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8385_xsmall.png,,8385,ee7c297c,2687,fc-cadiz
RC Deportivo,Deportivo,RCD,ES,https://images.fotmob.com/image_resources/logo/teamlogo/9783_xsmall.png,,9783,2a60ed82,897,deportivo-la-coruna
SD Eibar,Eibar,EIB,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8372_xsmall.png,,8372,bea5c710,1533,sd-eibar
Elche CF,Elche,ELC,ES,https://images.fotmob.com/image_resources/logo/teamlogo/10268_xsmall.png,,10268,6c8b07df,1531,fc-elche
RCD Espanyol de Barcelona,Espanyol,ESP,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8558_xsmall.png,,8558,a8661628,714,espanyol-barcelona
Getafe CF,Getafe,GET,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8305_xsmall.png,,8305,7848bd64,3709,fc-getafe
Girona FC,Girona,GIR,ES,https://images.fotmob.com/image_resources/logo/teamlogo/7732_xsmall.png,,7732,9024a00a,12321,fc-girona
Granada CF,Granada,GRA,ES,https://images.fotmob.com/image_resources/logo/teamlogo/7878_xsmall.png,,7878,a0435291,16795,fc-granada
SD Huesca,Huesca,HUE,ES,https://images.fotmob.com/image_resources/logo/teamlogo/96925_xsmall.png,,96925,c6c493e6,5358,sd-huesca
UD Las Palmas,Las Palmas,LPA,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8306_xsmall.png,,8306,0049d422,472,ud-las-palmas
CD Leganés,Leganés,LEG,ES,https://images.fotmob.com/image_resources/logo/teamlogo/7854_xsmall.png,,7854,7c6f2c78,1244,cd-leganes
Levante UD,Levante,LEV,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8581_xsmall.png,,8581,9800b6a1,3368,ud-levante
RCD Mallorca,Mallorca,MLL,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8661_xsmall.png,,8661,2aa12281,237,rcd-mallorca
Málaga CF,Málaga,MGA,ES,https://images.fotmob.com/image_resources/logo/teamlogo/9864_xsmall.png,,9864,1c896955,1084,fc-malaga
CA Osasuna,Osasuna,OSA,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8371_xsmall.png,,8371,03c57e2b,331,ca-osasuna
Rayo Vallecano,Rayo,RAY,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8370_xsmall.png,,8370,98e8af82,367,rayo-vallecano
Real Madrid CF,Real Madrid,RMA,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8633_xsmall.png,,8633,53a2f082,418,real-madrid
Real Sociedad,Real Sociedad,RSO,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8560_xsmall.png,,8560,e31d1cd9,681,real-sociedad-san-sebastian
Sevilla FC,Sevilla,SEV,ES,https://images.fotmob.com/image_resources/logo/teamlogo/8302_xsmall.png,,8302,ad2be733,368,fc-sevilla
Valencia CF,Valencia,VAL,ES,https://images.fotmob.com/image_resources/logo/teamlogo/10267_xsmall.png,,10267,dcc91a7b,1049,fc-valencia
Real Valladolid CF,Valladolid,VLL,ES,https://images.fotmob.com/image_resources/logo/teamlogo/10281_xsmall.png,,10281,17859612,366,real-valladolid
Villarreal CF,Villarreal,VIL,ES,https://images.fotmob.com/image_resources/logo/teamlogo/10205_xsmall.png,,10205,2a8183b3,1050,fc-villarreal
Atalanta BC,Atalanta,ATA,IT,https://images.fotmob.com/image_resources/logo/teamlogo/8524_xsmall.png,,8524,922493f3,800,atalanta-bergamo
Benevento Calcio,Benevento,BEN,IT,https://images.fotmob.com/image_resources/logo/teamlogo/6266_xsmall.png,,6266,4fcb34fd,4171,benevento-calcio
Bologna FC 1909,Bologna,BOL,IT,https://images.fotmob.com/image_resources/logo/teamlogo/9857_xsmall.png,,9857,1d8099f8,1025,fc-bologna
Brescia Calcio,Brescia,BSC,IT,https://images.fotmob.com/image_resources/logo/teamlogo/9858_xsmall.png,,9858,4ef57aeb,19,brescia-calcio
Cagliari Calcio,Cagliari,CAG,IT,https://images.fotmob.com/image_resources/logo/teamlogo/8529_xsmall.png,,8529,c4260e09,1390,cagliari-calcio
AC ChievoVerona,Chievo,CHI,IT,https://images.fotmob.com/image_resources/logo/teamlogo/8533_xsmall.png,,8533,cc919b35,862,chievo-verona
Como 1907,Como,COM,IT,https://images.fotmob.com/image_resources/logo/teamlogo/10171_xsmall.png,,10171,28c9c3cd,1047,como-1907
US Cremonese,Cremonese,CRE,IT,https://images.fotmob.com/image_resources/logo/teamlogo/7801_xsmall.png,,7801,9aad3a77,2239,us-cremonese
FC Crotone,Crotone,CRO,IT,https://images.fotmob.com/image_resources/logo/teamlogo/9884_xsmall.png,,9884,3074d7b1,4083,fc-crotone
Empoli FC,Empoli,EMP,IT,https://images.fotmob.com/image_resources/logo/teamlogo/8534_xsmall.png,,8534,a3d88bd8,749,fc-empoli
ACF Fiorentina,Fiorentina,FIO,IT,https://images.fotmob.com/image_resources/logo/teamlogo/8535_xsmall.png,,8535,421387cf,430,ac-florenz
Frosinone Calcio,Frosinone,FRO,IT,https://images.fotmob.com/image_resources/logo/teamlogo/9891_xsmall.png,,9891,6a7ad59d,8970,frosinone-calcio
Genoa CFC,Genoa,GEN,IT,https://images.fotmob.com/image_resources/logo/teamlogo/10233_xsmall.png,,10233,658bf2de,252,genua-cfc
FC Internazionale Milano,Inter,INT,IT,https://images.fotmob.com/image_resources/logo/teamlogo/8636_xsmall.png,,8636,d609edc0,46,inter-mailand
Juventus FC,Juventus,JUV,IT,https://images.fotmob.com/image_resources/logo/teamlogo/9885_xsmall.png,,9885,e0652b02,506,juventus-turin
SS Lazio,Lazio,LAZ,IT,https://images.fotmob.com/image_resources/logo/teamlogo/8543_xsmall.png,,8543,7213da33,398,lazio-rom
US Lecce,Lecce,LEC,IT,https://images.fotmob.com/image_resources/logo/teamlogo/9888_xsmall.png,,9888,ffcbe334,1005,us-lecce
AC Milan,Milan,MIL,IT,https://images.fotmob.com/image_resources/logo/teamlogo/8564_xsmall.png,,8564,dc56fe14,5,ac-mailand
AC Monza,Monza,MON,IT,https://images.fotmob.com/image_resources/logo/teamlogo/6504_xsmall.png,,6504,21680aa4,2919,ac-monza
SSC Napoli,Napoli,NAP,IT,https://images.fotmob.com/image_resources/logo/teamlogo/9875_xsmall.png,,9875,d48ad4ff,6195,ssc-neapel
Parma Calcio 1913,Parma,PAR,IT,https://images.fotmob.com/image_resources/logo/teamlogo/10167_xsmall.png,,10167,eab4234c,130,parma-calcio-1913
AS Roma,Roma,ROM,IT,https://images.fotmob.com/image_resources/logo/teamlogo/8686_xsmall.png,,8686,cf74a709,12,as-rom
SPAL,SPAL,SPA,IT,https://images.fotmob.com/image_resources/logo/teamlogo/8547_xsmall.png,,8547,1d2fe027,2722,spal
